Source,Target,Type,Label,Weight
Method:mac-ego3d,Dataset:replica,Directed,method_uses_dataset,0.95
Repo:nianticlabs/simplerecon,Method:simplerecon,Directed,repo_implements_method,1.0
Method:simplerecon,Dataset:scannet,Directed,method_uses_dataset,0.98
Repo:niessner/VoxelHashing,Method:voxelhashing,Directed,repo_implements_method,1.0
Repo:dgrzech/sobfu,Method:sobfu,Directed,repo_implements_method,1.0
Repo:samorr/Computer-Vision-and-Photogrammetry,Method:triangulation,Directed,repo_implements_method,0.9
Repo:ActiveVisionLab/MobileBrick,Method:mobilebrick,Directed,repo_implements_method,1.0
Repo:BatFaceWayne/DeGauss,Method:degauss,Directed,repo_implements_method,1.0
Repo:OpenDroneMap/NodeMICMAC,Method:nodemicmac,Directed,repo_implements_method,1.0
Repo:Pix4D/pyopf,Method:pyopf,Directed,repo_implements_method,1.0
Repo:simonfuhrmann/mve,Method:mve,Directed,repo_implements_method,1.0
Repo:snavely/bundler_sfm,Method:radialundistort,Directed,repo_implements_method,1.0
Repo:imkaywu/open3DCV,Method:ransac,Directed,repo_implements_method,0.95
Repo:3DOM-FBK/deep-image-matching,Method:deep-image-matching,Directed,repo_implements_method,1.0
Repo:3DOM-FBK/deep-image-matching,Method:sift,Directed,repo_implements_method,1.0
Repo:3DOM-FBK/deep-image-matching,Method:liftfeat,Directed,repo_implements_method,1.0
Repo:3DOM-FBK/deep-image-matching,Method:srif,Directed,repo_implements_method,1.0
Repo:3DOM-FBK/deep-image-matching,Method:lightglue,Directed,repo_implements_method,1.0
Repo:3DOM-FBK/deep-image-matching,Method:colmap,Directed,repo_implements_method,1.0
Repo:3DOM-FBK/deep-image-matching,Method:micmac,Directed,repo_implements_method,1.0
Repo:3DOM-FBK/deep-image-matching,Method:kornia,Directed,repo_implements_method,1.0
Repo:VladimirYugay/Gaussian-SLAM,Method:gaussian-slam,Directed,repo_implements_method,1.0
Repo:BertaBescos/DynaSLAM,Method:dynaslam,Directed,repo_implements_method,1.0
Method:dynaslam,Dataset:kitti,Directed,method_uses_dataset,1.0
Repo:koide3/interactive_slam,Method:interactive_slam,Directed,repo_implements_method,1.0
Repo:gaoxiang12/slambook,Method:dbow3,Directed,repo_implements_method,0.9
Repo:koide3/hdl_graph_slam,Method:ros,Directed,repo_implements_method,0.9
Repo:koide3/hdl_graph_slam,Method:ransac,Directed,repo_implements_method,0.9
Repo:cvg/nice-slam,Method:iMAP*,Directed,repo_implements_method,0.9
Repo:liuguitao/AVP-SLAM-PLUS,Method:avp-slam-plus,Directed,repo_implements_method,1.0
Repo:i2Nav-WHU/OB_GINS,Method:ob_gins,Directed,repo_implements_method,1.0
Repo:SilenceOverflow/VI_ORB_SLAM2,Method:vi_orb_slam2,Directed,repo_implements_method,1.0
Method:vi_orb_slam2,Dataset:euroc,Directed,method_uses_dataset,0.9
Method:vi_orb_slam2,Dataset:kitti,Directed,method_uses_dataset,0.85
Repo:MIT-SPARK/Kimera-VIO,Method:kimera-vio,Directed,repo_implements_method,1.0
