6041
5026	1895	3
5273	81	3
5265	2255	3
5255	359	3
5328	918	3
5328	919	3
5328	920	3
5328	1152	3
5008	1118	3
4956	1805	3
4963	645	3
5431	2908	3
1896	15	0
1896	22	0
2908	22	0
5312	2908	3
5064	2042	3
5084	347	3
5186	2220	3
5075	2416	3
5110	1245	3
1245	7	0
1245	3	0
1245	38	0
1245	8	0
1896	7	0
1896	8	0
1896	3	0
339	22	0
5293	164	3
5293	163	3
5002	1817	3
5303	1922	3
5352	1917	3
5352	3118	3
5358	376	3
5358	374	3
5358	2451	3
5358	242	3
5086	201	3
5241	615	3
5241	1676	3
615	15	0
615	16	0
4953	569	3
4965	616	3
4965	975	3
5229	2112	3
5229	1903	3
5229	1018	3
5229	1019	3
5229	1093	3
5229	130	3
5229	131	3
5229	2458	3
5229	949	3
5229	119	3
5229	1925	3
5006	137	3
4978	250	3
4978	158	3
4978	1750	3
4978	771	3
4978	1751	3
158	32	0
1750	32	0
1751	32	0
4951	617	3
4951	733	3
4951	2746	3
4951	753	3
4951	2571	3
4951	2939	3
4951	2944	3
4951	2553	3
4951	2473	3
4951	1622	3
4951	3264	3
4951	597	3
4951	221	3
4951	2869	3
4951	1540	3
4951	1301	3
4951	2128	3
4951	1632	3
4951	2673	3
4951	1936	3
4951	465	3
4951	2117	3
4951	1765	3
4951	208	3
4951	2412	3
4951	1562	3
5295	782	3
782	32	0
5396	1982	3
5144	634	3
634	32	0
4982	1515	3
1515	7	0
1515	8	0
5104	1135	3
962	15	0
4964	863	3
863	15	0
5189	1711	3
5338	215	3
5282	907	3
5243	1482	3
4994	155	3
155	15	0
5200	898	3
5200	2113	3
5200	425	3
5200	1288	3
5200	582	3
5200	2523	3
5200	2088	3
5242	1312	3
5242	2578	3
5242	1934	3
5242	2458	3
5242	1215	3
5242	1007	3
5242	1935	3
5242	2187	3
5349	555	3
5349	2129	3
5174	1406	3
5174	1430	3
2040	32	0
2040	30	0
5143	2131	3
5257	299	3
5095	2747	3
4952	991	3
991	15	0
5050	1498	3
5225	2070	3
5007	815	3
